credit_score,income,debt_to_income,age,employment_years,loan_amount,interest_rate,approved,default_risk
402,140641,0.4521773810049322,23,24,37401,11.742034738987762,1,0.8222710294900191
735,77608,0.7665677503662413,21,35,16565,7.7633103764008995,1,0.19029081200603512
570,109962,0.8435260528561656,21,8,29700,14.22247510514757,1,0.6475749268302621
406,120963,0.6027382631341383,59,7,46271,6.5085904182874845,1,0.8063457566888714
371,60277,0.4159561488171697,41,2,20337,10.912592718077304,0,0.8241825734577674
320,51551,0.3032248142391888,65,17,16112,1.9790951014672078,1,0.8170276887046837
421,109813,0.8857081475489204,50,34,18761,14.002813958174334,1,0.7021906598057819
766,76597,0.8864159984610868,52,16,47791,5.823597335180296,0,0.26272397805781
514,121025,0.8399815585880278,53,35,13885,8.33606406098001,0,0.49069315390284063
630,144342,0.7285353199022554,68,27,6376,2.9387425226815393,0,0.17161202336850045
758,65212,0.36062363499649464,42,14,10939,14.237810197083371,1,0.029555181656869184
387,29637,0.7536003867981046,50,18,46949,10.421585655018509,0,0.8946685881278114
672,63258,0.4270344138169381,66,21,7846,1.7552646757055712,0,0.07110301040465412
399,55693,0.3614184785240362,24,5,11817,3.172894908509967,0,0.781027089769385
430,29824,0.6958922867730236,43,6,12430,6.597675966997096,0,0.42985515638773975
608,149553,0.16372314209633831,64,8,31328,4.0347941733798045,1,0.20358968750157025
643,46950,0.13885017863652938,45,19,16151,5.264757973228628,1,0.23619763348497533
791,43488,0.4583629577449485,32,36,32619,14.964876252266471,1,0.14819159478400756
713,147870,0.4565110406577295,37,10,39484,10.221081760097237,0,0.1581297041634469
685,124544,0.816515322451068,35,1,32664,13.911046432402326,1,0.28134987899399705
491,135200,0.20092247703025345,30,21,11780,7.101177247960607,1,0.454390995935923
576,20215,0.19862714196193024,55,35,8331,10.94395198286795,1,0.671351736124752
460,125603,0.21796208037992093,49,4,33604,7.435664090258041,0,0.4484707215275351
759,31523,0.12378900903568209,32,6,46849,5.595143599970338,1,0.19574076993524445
613,95900,0.15738539025192672,21,5,22762,8.268424051014788,1,0.2749272233360968
321,88689,0.6278958934632313,21,21,28765,6.982354585024813,1,0.6735429461339795
552,43834,0.44526746329400735,30,9,42043,14.727569081529712,1,0.4645603399116097
774,54474,0.7108824536704109,38,39,26922,7.946329673029612,1,0.12012761689548222
358,63066,0.8940781748653283,67,19,28694,12.355583860583137,1,0.5759157723932296
810,119871,0.6272277448792011,22,27,15556,10.335472556141879,1,0.2618416884527998
775,30400,0.140364456496099,69,22,18555,7.714781321043915,1,0.11367569604769281
489,145211,0.18365029180347323,28,34,15004,7.638101014528706,0,0.8685444102014952
543,30345,0.8048032678517663,42,0,43190,5.786461638868527,1,0.8609553259759322
804,53896,0.5219967556466093,42,28,25810,2.4977453068487856,1,0.29545527853558073
430,105430,0.759869727516592,46,8,16188,11.660570605122436,1,0.7852928702948959
784,48899,0.7852898689799409,46,8,5247,13.853327104807546,1,0.141080272035592
320,126171,0.8421396331996154,29,21,25762,4.051367965241647,1,0.7458316153723598
466,48229,0.8598633643890926,41,1,18811,13.959428915008763,1,0.7086111843167142
573,137053,0.543860637202645,51,15,8741,4.252259052815894,0,0.5558825156506957
687,25583,0.37281613780482714,63,39,34052,8.421107427772853,0,0.1778358931292485
615,24897,0.8694918994783989,26,5,39319,5.81070794577993,0,0.01239576152272912
313,140406,0.5379251248009802,34,12,11306,2.603123002771615,1,0.7600884636974081
541,91537,0.15140217836368886,53,32,8005,1.7397372493776626,1,0.6030595229828881
645,129417,0.614221240047892,27,18,8322,6.1148514500191835,1,0.1588907397075672
639,24567,0.5701478003160086,44,14,21008,1.6628141036921593,1,0.1640095410313133
391,94807,0.8166342983157648,29,32,45765,2.4588901255299183,1,0.8815939102675279
666,149648,0.62254975132625,31,9,29870,2.992166103171779,1,0.2488264232610782
754,132652,0.3792419395692411,43,0,17466,1.0268198865059868,1,0.09669104518800656
727,97239,0.8729805805646563,68,11,38161,3.1455310218111485,0,0.08428680141910472
808,33329,0.7412955887856268,22,28,7739,9.081901525297244,0,0.2407845658743601
334,121045,0.6043340947050835,35,16,41935,12.473323709343111,1,0.8439418044208014
505,137708,0.33434016272249834,55,3,18194,3.7080194317129775,1,0.8320043585880107
380,91792,0.39883223705143644,56,28,9231,2.132216453865004,1,0.5695224795126018
687,20228,0.6359759392773253,48,6,33268,11.21319877810221,1,0.20312153214943782
301,110282,0.1575846547706574,59,12,6401,1.1142779604010244,1,0.48926957728339254
689,102214,0.30534447332021075,64,4,13086,11.278269428509336,1,0.2875289217247245
405,57052,0.6711207467172784,24,5,38673,2.835641302136338,1,0.8795671544726364
776,77769,0.48401480787569673,30,33,5529,4.195990869671649,1,0.2563990282419129
701,66032,0.4219148518515441,26,6,45779,2.680978752432414,0,0.24363024029310645
461,131694,0.2211660979203316,50,27,28462,4.462734198719523,0,0.49068234280855727
